"TEMPERATURE.1.","TEMPERATURE.2.","TEMPERATURE.3.","TEMPERATURE.4.","TEMPERATURE.5.","TEMPERATURE.6.","TEMPERATURE.7.","TEMPERATURE.8.","TEMPERATURE.9.","TEMPERATURE.10.","TEMPERATURE.11.","TEMPERATURE.12.","TEMPERATURE.13.","TEMPERATURE.14.","TEMPERATURE.15.","TEMPERATURE.16.","TEMPERATURE.17.","TEMPERATURE.18.","TEMPERATURE.19.","TEMPERATURE.20.","TEMPERATURE.21.","TEMPERATURE.22.","TEMPERATURE.23.","TEMPERATURE.24.","TEMPERATURE.25.","TEMPERATURE.26.","TEMPERATURE.27.","TEMPERATURE.28.","TEMPERATURE.29.","TEMPERATURE.30.","TEMPERATURE.31.","TEMPERATURE.32.","TEMPERATURE.33.","TEMPERATURE.34.","TEMPERATURE.35.","TEMPERATURE.36.","TEMPERATURE.37.","TEMPERATURE.38.","TEMPERATURE.39.","TEMPERATURE.40.","TEMPERATURE.41.","TEMPERATURE.42.","TEMPERATURE.43.","TEMPERATURE.44.","TEMPERATURE.45.","TEMPERATURE.46.","TEMPERATURE.47.","TEMPERATURE.48.","TEMPERATURE.49.","TEMPERATURE.50."
"1",9.8317996,9.8385757,9.842036,9.8443761,9.8461466,9.8475694,9.848757,9.8497739,9.850661,9.8514458,9.8521476,9.8527806,9.8533555,9.8538805,9.8543623,9.8548061,9.855216,9.8555958,9.8559483,9.8562761,9.8565812,9.8568656,9.8571307,9.8573779,9.8576085,9.8578235,9.8580407,9.8582601,9.8584819,9.8587062,9.8589332,9.8591629,9.8593956,9.8596314,9.8598705,9.8601132,9.8603598,9.8606104,9.8608654,9.8611252,9.8613901,9.8616606,9.8619372,9.8622203,9.8625105,9.8628084,9.8631143,9.8634285,9.8637504,9.8640784
"2",9.5920915,9.5980225,9.6010128,9.6030167,9.6045217,9.6057239,9.6067221,9.6075731,9.6083125,9.6089643,9.6095454,9.610068,9.6105416,9.6109731,9.6113682,9.6117315,9.6120666,9.6123765,9.6126638,9.6129307,9.6131788,9.6134098,9.613625,9.6138256,9.6140126,9.6141869,9.6143628,9.6145405,9.61472,9.6149015,9.6150849,9.6152706,9.6154585,9.6156488,9.6158418,9.6160374,9.6162361,9.6164379,9.6166432,9.6168521,9.6170652,9.6172827,9.6175051,9.617733,9.6179671,9.6182084,9.618458,9.6187181,9.6189918,9.6192889
"3",9.1585723,9.1648936,9.1681312,9.1703212,9.1719772,9.1733072,9.1744164,9.1753656,9.1761932,9.1769249,9.177579,9.1781687,9.1787042,9.1791931,9.1796417,9.1800548,9.1804365,9.1807901,9.1811184,9.1814236,9.1817078,9.1819727,9.1822198,9.1824503,9.1826654,9.182866,9.1830688,9.1832738,9.1834811,9.1836908,9.1839032,9.1841183,9.1843363,9.1845574,9.1847818,9.1850099,9.1852417,9.1854777,9.1857182,9.1859637,9.1862147,9.1864717,9.1867354,9.1870069,9.1872873,9.1875781,9.1878817,9.1882013,9.1885436,9.1889261
"4",8.6845371,8.6925765,8.696597,8.6992562,8.7012277,8.7027839,8.704062,8.7051408,8.7060697,8.7068819,8.7076004,8.7082422,8.70882,8.7093433,8.7098199,8.7102559,8.7106562,8.7110248,8.7113652,8.7116802,8.7119722,8.7122431,8.7124949,8.7127291,8.7129473,8.7131504,8.7133551,8.7135611,8.7137688,8.7139785,8.7141903,8.7144043,8.7146208,8.7148398,8.7150617,8.7152866,8.7155148,8.7157465,8.715982,8.7162218,8.7164662,8.7167156,8.7169708,8.7172321,8.7175006,8.7177771,8.718063,8.7183599,8.7186708,8.7190031
"5",8.3438923,8.348663,8.3511055,8.352759,8.3540104,8.3550162,8.3558555,8.3565741,8.3572007,8.357755,8.3582504,8.3586972,8.3591028,8.3594731,8.3598128,8.3601256,8.3604146,8.3606821,8.3609304,8.3611612,8.361376,8.3615762,8.3617627,8.3619366,8.3620988,8.36225,8.3624027,8.362557,8.3627128,8.3628703,8.3630296,8.3631907,8.3633537,8.3635188,8.363686,8.3638554,8.3640272,8.3642016,8.3643786,8.3645585,8.3647415,8.3649279,8.3651179,8.3653119,8.3655102,8.3657136,8.3659227,8.3661386,8.3663637,8.366605
"6",7.9839861,7.9888208,7.9912933,7.9929667,7.9942331,7.995251,7.9961006,7.9968282,7.997463,7.9980246,7.998527,7.9989802,7.9993919,7.999768,8.0001133,8.0004314,8.0007255,8.000998,8.001251,8.0014865,8.0017057,8.0019102,8.0021009,8.0022789,8.002445,8.0026,8.0027567,8.0029151,8.0030753,8.0032375,8.0034017,8.003568,8.0037367,8.0039078,8.0040815,8.004258,8.0044375,8.0046203,8.0048067,8.0049969,8.0051914,8.0053907,8.0055953,8.0058059,8.0060235,8.0062493,8.0064851,8.0067337,8.0070002,8.0072997
"7",7.5893312,7.5967669,7.6004649,7.6029116,7.6047278,7.6061629,7.6073429,7.6083398,7.609199,7.6099508,7.6106165,7.6112114,7.6117474,7.6122331,7.6126758,7.613081,7.6134532,7.6137962,7.6141131,7.6144065,7.6146785,7.6149312,7.6151661,7.6153848,7.615589,7.6157797,7.615971,7.6161636,7.616358,7.6165542,7.6167524,7.6169529,7.6171558,7.6173613,7.6175697,7.6177811,7.6179959,7.6182143,7.6184367,7.6186636,7.6188953,7.6191327,7.6193762,7.6196269,7.6198859,7.6201546,7.6204354,7.6207315,7.6210493,7.6214059
"8",7.2631135,7.2695385,7.2728024,7.2749914,7.2766328,7.2779406,7.2790232,7.2799432,7.2807401,7.2814405,7.282063,7.2826213,7.2831257,7.2835842,7.2840029,7.284387,7.2847405,7.2850668,7.2853686,7.2856484,7.2859081,7.2861495,7.286374,7.2865829,7.2867774,7.2869584,7.2871409,7.2873249,7.2875106,7.287698,7.2878873,7.2880785,7.2882717,7.2884671,7.2886648,7.2888648,7.2890675,7.2892729,7.2894813,7.2896928,7.2899077,7.2901263,7.2903489,7.290576,7.290808,7.2910457,7.2912898,7.2915419,7.2918045,7.292086
"9",7.0181602,7.0229311,7.0253385,7.0269466,7.0281499,7.0291076,7.0298999,7.0305731,7.0311562,7.0316688,7.0321246,7.0325335,7.0329031,7.0332392,7.0335464,7.0338283,7.0340879,7.0343277,7.0345496,7.0347554,7.0349466,7.0351243,7.0352898,7.035444,7.0355879,7.0357223,7.035857,7.0359931,7.0361306,7.0362694,7.0364097,7.0365515,7.036695,7.0368404,7.0369876,7.0371369,7.0372884,7.0374423,7.0375987,7.037758,7.0379203,7.038086,7.0382554,7.038429,7.0386074,7.0387912,7.0389816,7.0391803,7.0393905,7.0396224
"10",6.7984951,6.8021608,6.8040302,6.8052949,6.8062518,6.807021,6.807663,6.8082129,6.8086926,6.809117,6.8094966,6.8098391,6.8101503,6.8104346,6.8106955,6.810936,6.8111583,6.8113643,6.8115556,6.8117336,6.8118994,6.812054,6.8121983,6.8123329,6.8124586,6.8125758,6.8126944,6.8128143,6.8129356,6.8130583,6.8131827,6.8133087,6.8134365,6.8135662,6.8136978,6.8138317,6.8139679,6.8141066,6.814248,6.8143924,6.8145402,6.8146916,6.8148472,6.8150074,6.8151731,6.8153452,6.815525,6.8157149,6.8159191,6.8161501
