"Time","Radiation","Wind"
"1",0,20,13.06
"2",1.5,31.935416,11.256458
"3",4.5,24.758333,13.215417
"4",7.5,10.563333,7.970625
"5",10.5,36.273333,12.507708
"6",13.5,42.939583,12.83625
"7",16.5,39.272501,8.3754167
"8",19.5,41.356249,9.1264583
"9",22.5,28.500833,8.1120832
"10",25.5,52.0925,11.017708
"11",28.5,57.890833,8.7814583
"12",31.5,54.798333,7.7835417
"13",34.5,50.71125,14.935
"14",37.5,46.167916,9.5929166
"15",40.5,45.772918,7.0885417
"16",43.5,30.923334,8.0379166
"17",46.5,79.627915,8.613125
"18",49.5,56.200001,8.1031251
"19",52.5,107.21292,8.95625
"20",55.5,118.13292,9.1010416
"21",58.5,96.759582,6.6064583
"22",61.5,87.657917,6.8689584
"23",64.5,146.41167,11.315833
"24",67.5,124.71958,9.1024999
"25",70.5,104.9875,8.9710416
"26",73.5,125.02625,9.8172916
"27",76.5,184.16917,7.9666666
"28",79.5,182.92416,6.8124999
"29",82.5,95.567916,9.4274999
"30",85.5,211.9625,7.6945833
"31",88.5,239.56166,10.08
"32",91.5,238.21958,12.483542
"33",94.5,161.08167,13.897709
"34",97.5,142.14041,11.750417
"35",100.5,155.28458,6.9545834
"36",103.5,222.35417,6.9375
"37",106.5,224.52292,6.8708332
"38",109.5,147.7275,6.8347916
"39",112.5,236.47917,7.7679167
"40",115.5,239.55208,9.8168749
"41",118.5,181.53458,7.4679166
"42",121.5,162.52959,5.8681249
"43",124.5,199.74458,10.121458
"44",127.5,185.29625,6.8891666
"45",130.5,203.42,5.3477083
"46",133.5,190.97166,6.6937501
"47",136.5,198.54083,4.6691667
"48",139.5,151.63,5.1177083
"49",142.5,266.11458,3.6954167
"50",145.5,151.13917,5.629375
"51",148.5,157.00625,7.1785416
"52",151.5,180.84584,6.2739583
"53",154.5,167.95583,10.97125
"54",157.5,174.85208,7.181875
"55",160.5,170.63166,3.5947917
"56",163.5,228.19209,4.4216668
"57",166.5,132.06958,5.5152083
"58",169.5,312.30251,4.9927083
"59",172.5,236.77791,8.48
"60",175.5,127.16375,6.9827083
"61",178.5,214.76,9.8795832
"62",181.5,139.67209,7.2116666
"63",184.5,267.13,5.9870834
"64",187.5,199.66541,6.8831249
"65",190.5,257.54458,6.7574999
"66",193.5,379.57583,4.0947917
"67",196.5,202.2925,4.7352084
"68",199.5,212.37708,3.7710417
"69",202.5,206.73875,3.888125
"70",205.5,203.26334,6.0091666
"71",208.5,181.85041,4.8810417
"72",211.5,194.01125,5.17625
"73",214.5,198.75709,3.3591667
"74",217.5,201.56541,2.954375
"75",220.5,243.26001,7.26375
"76",223.5,302.51667,6.2606249
"77",226.5,232.54292,4.320625
"78",229.5,156.70791,7.8202082
"79",232.5,188.3575,4.9185417
"80",235.5,251.25,7.3077083
"81",238.5,248.26376,6.1114584
"82",241.5,118.25625,6.1114583
"83",244.5,121.72583,5.57625
"84",247.5,172.50917,6.9141667
"85",250.5,120.65208,10.868333
"86",253.5,132.48916,7.94125
"87",256.5,151.91125,11.526042
"88",259.5,120.67,5.6625
"89",262.5,114.4625,9.038125
"90",265.5,152.81875,9.2372917
"91",268.5,160.41792,9.0860416
"92",271.5,141.67167,5.1716667
"93",274.5,89.299582,7.1472917
"94",277.5,146.41875,5.85625
"95",280.5,127.86875,5.0714583
"96",283.5,140.11125,6.8395833
"97",286.5,138.94333,7.3808333
"98",289.5,62.605832,6.540625
"99",292.5,73.410834,12.240625
"100",295.5,97.627086,10.661667
"101",298.5,60.172915,10.38375
"102",301.5,50.274582,9.6714582
"103",304.5,59.541666,9.8677083
"104",307.5,48.86875,7.2385417
"105",310.5,54.182083,6.9585417
"106",313.5,58.675833,8.8525
"107",316.5,36.329583,10.664375
"108",319.5,22.147916,7.6141667
"109",322.5,35.480833,9.989375
"110",325.5,25.1725,6.88125
"111",328.5,16.91125,6.6341666
"112",331.5,24.845,9.1845833
"113",334.5,31.157083,7.4797916
"114",337.5,28.337083,5.9752083
"115",340.5,29.285,9.2856249
"116",343.5,30.762082,12.000208
"117",346.5,20.11,9.4227083
"118",349.5,22.315,13.649375
"119",352.5,9.0566667,10.754167
"120",355.5,16,10.52625
"121",358.5,20.63625,5.055625
"122",361.5,25.805834,9.7706249
"123",364.5,32.924166,9.5145834
"124",367.5,32.839999,9.1277084
